NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
ndata = 259608
-2 1
-1 0.252313
42.8 246832 0.0206954
42.9 246832 0.0188479
43 246832 0.0174524
43.1 246832 0.0174524
43.2 246832 0.01635
43.3 246832 0.01635
43.4 246832 0.0153901
43.5 246832 0.0153901
43.6 246832 0.0144372
43.7 246832 0.0133755
43.8 246832 0.0133755
43.9 246832 0.0121171
44 246832 0.0121171
44.1 246832 0.0106159
44.2 246832 0.0106159
44.3 246832 0.00888415
44.4 246832 0.00700629
44.5 246832 0.00700629
44.6 246832 0.00514056
44.7 246832 0.00514056
44.8 246832 0.00350308
44.9 246832 0.00350308
45 246832 0.00233285
45.1 246832 0.00184454
45.2 246832 0.00184454
45.3 246832 0.00218152
45.4 246832 0.00218152
45.5 246832 0.00338129
45.6 246832 0.00338129
45.7 246832 0.00536362
45.8 246832 0.00794557
45.9 246832 0.00794557
46 246832 0.0108796
46.1 246832 0.0108796
46.2 246832 0.0139055
46.3 246832 0.0139055
46.4 246832 0.0168034
46.5 246832 0.0194358
46.6 246832 0.0194358
46.7 246832 0.0217668
46.8 246832 0.0217668
46.9 246832 0.0238568
47 246832 0.0238568
47.1 246832 0.0258353
47.2 246832 0.0278594
47.3 246832 0.0278594
47.4 246832 0.0300733
47.5 246832 0.0300733
47.6 246832 0.0325745
47.7 246832 0.0325745
47.8 246832 0.0353969
47.9 246832 0.0353969
48 246832 0.0385094
48.1 246832 0.041827
48.2 246832 0.041827
48.3 246832 0.045228
48.4 246832 0.045228
48.5 246832 0.0485703
48.6 246832 0.0485703
48.7 246832 0.051706
48.8 246832 0.0544937
48.9 246832 0.0544937
49 246832 0.0568082
49.1 246832 0.0568082
49.2 246832 0.0585498
49.3 246832 0.0585498
49.4 246832 0.0596511
49.5 246832 0.0600817
49.6 246832 0.0600817
49.7 246832 0.0598477
49.8 246832 0.0598477
49.9 246832 0.0589872
50 246832 0.0589872
50.1 246832 0.0575648
50.2 246832 0.055667
50.3 246832 0.055667
50.4 246832 0.0533982
50.5 246832 0.0533982
50.6 246832 0.0508772
50.7 246832 0.0508772
50.8 246832 0.048231
50.9 246832 0.0455821
51 246832 0.0455821
51.1 246832 0.0430311
51.2 246832 0.0430311
51.3 246832 0.0406371
51.4 246832 0.0406371
51.5 246832 0.038404
51.6 246832 0.0362777
51.7 246832 0.0362777
51.8 246832 0.0341569
51.9 246832 0.0341569
52 246832 0.0319181
52.1 246832 0.0319181
52.2 246832 0.0294465
52.3 246832 0.0266656
52.4 246832 0.0266656
52.5 246832 0.023558
52.6 246832 0.023558
52.7 246832 0.0201729
52.8 246832 0.0201729
52.9 246832 0.0166209
53 246832 0.0130585
53.1 246832 0.0130585
53.2 246832 0.00966938
53.3 246832 0.00966938
53.4 246832 0.00664652
53.5 246832 0.00664652
53.6 246832 0.0041779
53.7 246832 0.0041779
53.8 246832 0.0024365
53.9 246832 0.00157241
54 246832 0.00157241
54.1 246832 0.00170385
54.2 246832 0.00170385
54.3 246832 0.00290289
54.4 246832 0.00290289
54.5 246832 0.00517767
54.6 246832 0.00845565
54.7 246832 0.00845565
54.8 246832 0.0125727
54.9 246832 0.0125727
55 246832 0.0172744
55.1 246832 0.0172744
55.2 246832 0.0222327
55.3 246832 0.027078
55.4 246832 0.027078
55.5 246832 0.0314408
55.6 246832 0.0314408
55.7 246832 0.0349953
55.8 246832 0.0349953
55.9 246832 0.0374976
56 246832 0.0388122
56.1 246832 0.0388122
56.2 246832 0.0389225
56.3 246832 0.0389225
56.4 246832 0.037927
56.5 246832 0.037927
56.6 246832 0.0360218
56.7 246832 0.0334762
56.8 246832 0.0334762
56.9 246832 0.0306025
57 246832 0.0306025
57.1 246832 0.0277223
57.2 246832 0.0277223
57.3 246832 0.0251327
57.4 246832 0.0230765
57.5 246832 0.0230765
57.6 246832 0.0217161
57.7 246832 0.0217161
57.8 246832 0.0211155
